0.4099999, 0, 0, 7.098777, 1.574027, 0, 265.8278, -831.0645, -4.985368, 0.01928791, 0.1567104, 20.83511, 2.28485, 1.887131, 20.05843
0.5099998, -0.1677198, -0.01372127, 8.871364, 1.582769, 0.9834809343402704239235177130, 459.3422, -834.1423, -4.985368, 0.01928791, 0.1567104, 27.39089, 2.28485, 1.883596, 20.12025
 
0.5199998, -0.1704075, -0.01539847, 9.051165, 1.584618, 0.9565137490394245381848, 481.6995, -834.4515, -4.985368, 0.01928791, 0.1567104, 28.04987, 2.28485, 1.883242, 20.12643
 
0.5299998, -0.1729768, -0.01710255, 9.23119, 1.586365, 0.9304954708438166268876822870, 504.6141, -834.7612, -4.985368, 0.01928791, 0.1567104, 28.70962, 2.28485, 1.882889, 20.13261
 
0.5399998, -0.1754207, -0.01883231, 9.41164, 1.588216, 0.9053507705514912532368, 528.0876, -835.0709, -4.985368, 0.01928791, 0.1567104, 29.37013, 2.28485, 1.882535, 20.1388
 
0.5499998, -0.1777322, -0.02058652, 9.592414, 1.590069, 0.8810102061450217334304, 552.1216, -835.3811, -4.985368, 0.01928791, 0.1567104, 30.03139, 2.28485, 1.882181, 20.14498
 
0.5599998, -0.1799044, -0.02236385, 9.773412, 1.59182, 0.8574106241904427808064, 576.7184, -835.6915, -4.985368, 0.01928791, 0.1567104, 30.69342, 2.28485, 1.881828, 20.15116
 
0.5699998, -0.1819293, -0.02416289, 9.954829, 1.593675, 0.8344935542414771133707177130, 601.8785, -836.002, -4.985368, 0.01928791, 0.1567104, 31.35619, 2.28485, 1.881474, 20.15734
 
0.5799997, -0.1837997, -0.02598218, 10.13657, 1.595532, 0.8122058778377819493072, 627.6038, -836.313, -4.985368, 0.01928791, 0.1567104, 32.0197, 2.28485, 1.881121, 20.16353
 
0.5899997, -0.1855076, -0.02782018, 10.31862, 1.59739, 0.7904983567088051112600, 653.8958, -836.6241, -4.985368, 0.01928791, 0.1567104, 32.68394, 2.28485, 1.880767, 20.16971
 
0.5999997, -0.1870455, -0.02967525, 10.501, 1.59925, 0.7693268369706324646416, 680.756, -836.9357, -4.985368, 0.01928791, 0.1567104, 33.34892, 2.28485, 1.880414, 20.17589
 
0.6099997, -0.1884057, -0.03154571, 10.68358, 1.601008, 0.7486507773298507118976, 708.186, -837.2474, -4.985368, 0.01928791, 0.1567104, 34.01462, 2.28485, 1.88006, 20.18207
 
0.6199997, -0.18958, -0.03342977, 10.86658, 1.60287, 0.7284328476846040443888, 736.1876, -837.5593, -4.985368, 0.01928791, 0.1567104, 34.68105, 2.28485, 1.879707, 20.18826
 
0.6299997, -0.1905604, -0.03532557, 11.0498, 1.604631, 0.7086362531316295682952, 764.7622, -837.8716, -4.985368, 0.01928791, 0.1567104, 35.34821, 2.28485, 1.879353, 20.19444
 
0.6399997, -0.1913384, -0.03723117, 11.23354, 1.606599, 0.6892307549504262583355177130, 793.9114, -838.1841, -4.985368, 0.01928791, 0.1567104, 36.01608, 2.28485, 1.879, 20.20062
 
0.6499997, -0.1919066, -0.03914456, 11.41739, 1.608363, 0.6701862482201466699192, 823.637, -838.4971, -4.985368, 0.01928791, 0.1567104, 36.68468, 2.28485, 1.878646, 20.2068
 
0.6599997, -0.1922571, -0.04106362, 11.60169, 1.61023, 0.6514749026139552184584, 853.9459, -838.8101, -4.985368, 0.01928791, 0.1567104, 37.35413, 2.28485, 1.878293, 20.21299
 
0.6699997, -0.1923815, -0.04298619, 11.78677, 1.612513, 0.6330700920018557296944, 884.8444, -839.1234, -4.985368, 0.01928791, 0.1567104, 38.0245, 2.28485, 1.877939, 20.21917
 
0.6799996, -0.1922712, -0.04491001, 11.97222, 1.614798, 0.6149465282503329784200, 916.3345, -839.4371, -4.985368, 0.01928791, 0.1567104, 38.6958, 2.28485, 1.877586, 20.22535
 
0.6899996, -0.1919183, -0.04683272, 12.15804, 1.617085, 0.5970852118093384885536, 948.4169, -839.751, -4.985368, 0.01928791, 0.1567104, 39.368, 2.28485, 1.877232, 20.23153
 
0.6999996, -0.191315, -0.0487519, 12.34422, 1.619375, 0.5794674107281202414232, 981.0952, -840.0653, -4.985368, 0.01928791, 0.1567104, 40.04113, 2.28485, 1.876878, 20.23772
 
0.7099996, -0.1904524, -0.05066505, 12.53078, 1.621665, 0.5620746606552226757664, 1014.371, -840.3796, -4.985368, 0.01928791, 0.1567104, 40.71518, 2.28485, 1.876525, 20.2439
 
0.7199996, -0.1893233, -0.05256958, 12.7176, 1.623854, 0.5448917084307490572324822870, 1048.248, -840.6943, -4.985368, 0.01928791, 0.1567104, 41.39016, 2.28485, 1.876172, 20.25008
 
0.7299996, -0.187919, -0.05446281, 12.90501, 1.626253, 0.5279046388912795865328, 1082.726, -841.0094, -4.985368, 0.01928791, 0.1567104, 42.06606, 2.28485, 1.875818, 20.25626
 
0.7399996, -0.1862325, -0.056342, 13.09267, 1.628549, 0.5111000720719967451732822870, 1117.809, -841.3246, -4.985368, 0.01928791, 0.1567104, 42.74289, 2.28485, 1.875465, 20.26245
 
0.7499996, -0.1842557, -0.05820432, 13.2807, 1.630849, 0.4944660998042028264408, 1153.497, -841.6403, -4.985368, 0.01928791, 0.1567104, 43.4206, 2.28485, 1.875111, 20.26863
 
0.7599996, -0.1819811, -0.06004688, 13.4691, 1.633149, 0.4779916167170975238299177130, 1189.793, -841.956, -4.985368, 0.01928791, 0.1567104, 44.09924, 2.28485, 1.874757, 20.27481
 
0.7699996, -0.179403, -0.06186669, 13.65777, 1.635347, 0.4616688624310849104587177130, 1226.7, -842.2721, -4.985368, 0.01928791, 0.1567104, 44.7788, 2.28485, 1.874404, 20.28099
 
0.7799996, -0.1765127, -0.06366073, 13.847, 1.637756, 0.4454880695718442908768, 1264.219, -842.5886, -4.985368, 0.01928791, 0.1567104, 45.45925, 2.28485, 1.87405, 20.28718
 
0.7899995, -0.1733056, -0.06542585, 14.0365, 1.640062, 0.4294434847545004927812822870, 1302.352, -842.9051, -4.985368, 0.01928791, 0.1567104, 46.14062, 2.28485, 1.873697, 20.29336
 
0.7999995, -0.169775, -0.06715891, 14.22637, 1.642371, 0.4135276151987500327104, 1341.102, -843.2219, -4.985368, 0.01928791, 0.1567104, 46.82291, 2.28485, 1.873343, 20.29954
 
0.8099995, -0.1659156, -0.06885666, 14.4165, 1.644577, 0.3977356441172606912808, 1380.469, -843.5392, -4.985368, 0.01928791, 0.1567104, 47.50608, 2.28485, 1.87299, 20.30572
 
0.8199995, -0.1617215, -0.07051581, 14.6072, 1.646994, 0.3820635575205829313555177130, 1420.458, -843.8566, -4.985368, 0.01928791, 0.1567104, 48.19018, 2.28485, 1.872636, 20.3119
 
0.8299995, -0.1571896, -0.07213303, 14.79816, 1.649308, 0.3665084118164597354184, 1461.069, -844.1744, -4.985368, 0.01928791, 0.1567104, 48.87516, 2.28485, 1.872283, 20.31809
 
0.8399995, -0.1523155, -0.07370492, 14.98939, 1.65152, 0.3510672634126260579744, 1502.305, -844.4924, -4.985368, 0.01928791, 0.1567104, 49.56107, 2.28485, 1.871929, 20.32427
 
0.8499995, -0.1470944, -0.07522807, 15.18118, 1.653942, 0.3357379715147102397467177130, 1544.164, -844.8105, -4.985368, 0.01928791, 0.1567104, 50.24782, 2.28485, 1.871576, 20.33045
 
