# Simulation 4 (Up to date)
# 1048 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (25.6 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
13.249,8270.492,138.231,-1.301
13.299,8293.116,137.594,-1.298
13.349,8315.635,136.958,-1.295
13.399,8338.05,136.324,-1.292
13.449,8360.361,135.691,-1.289
13.499,8382.568,135.059,-1.286
13.549,8404.671,134.429,-1.283
13.599,8426.672,133.801,-1.28
13.649,8448.569,133.174,-1.277
13.699,8470.364,132.548,-1.275
13.749,8492.057,131.924,-1.272
13.799,8513.646,131.301,-1.269
13.849,8535.134,130.68,-1.266
13.899,8556.52,130.06,-1.263
13.949,8577.805,129.441,-1.26
13.999,8598.988,128.823,-1.258
14.049,8620.07,128.207,-1.255
14.099,8641.051,127.593,-1.252
14.149,8661.931,126.979,-1.25
14.199,8682.711,126.367,-1.247
14.249,8703.39,125.756,-1.244
14.299,8723.97,125.147,-1.242
14.349,8744.449,124.538,-1.239
14.399,8764.829,123.931,-1.237
14.449,8785.109,123.325,-1.234
14.499,8805.29,122.721,-1.232
14.549,8825.372,122.117,-1.229
14.599,8845.355,121.515,-1.227
14.649,8865.239,120.914,-1.224
14.699,8885.025,120.315,-1.222
14.749,8904.712,119.716,-1.22
14.799,8924.302,119.119,-1.217
14.849,8943.793,118.522,-1.215
14.899,8963.187,117.927,-1.213
14.949,8982.483,117.333,-1.21
14.999,9001.682,116.74,-1.208
15.049,9020.784,116.149,-1.206
15.099,9039.789,115.558,-1.203
15.149,9058.697,114.968,-1.201
15.199,9077.508,114.38,-1.199
15.249,9096.223,113.793,-1.197
15.299,9114.842,113.206,-1.195
15.349,9133.364,112.621,-1.192
15.399,9151.791,112.037,-1.19
15.449,9170.122,111.454,-1.188
15.499,9188.357,110.872,-1.186
15.549,9206.497,110.291,-1.184
15.599,9224.542,109.711,-1.182
15.649,9242.491,109.131,-1.18
15.699,9260.346,108.553,-1.178
15.749,9278.106,107.976,-1.176
15.799,9295.771,107.4,-1.174
15.849,9313.342,106.825,-1.172
15.899,9330.819,106.251,-1.17
15.949,9348.202,105.678,-1.168
15.999,9365.49,105.106,-1.166
16.049,9382.685,104.534,-1.164
16.099,9399.787,103.964,-1.162
16.149,9416.794,103.395,-1.16
16.199,9433.709,102.826,-1.158
16.249,9450.53,102.259,-1.157
16.299,9467.258,101.692,-1.155
16.349,9483.894,101.126,-1.153
16.399,9500.436,100.561,-1.151
16.449,9516.886,99.997,-1.149
16.499,9533.244,99.434,-1.148
16.549,9549.509,98.872,-1.146
16.599,9565.682,98.311,-1.144
16.649,9581.763,97.75,-1.142
16.699,9597.752,97.19,-1.141
16.749,9613.65,96.631,-1.139
16.799,9629.456,96.073,-1.137
16.849,9645.17,95.516,-1.136
16.899,9660.793,94.96,-1.134
16.949,9676.325,94.404,-1.132
16.999,9691.766,93.849,-1.131
17.049,9707.115,93.295,-1.129
17.099,9722.374,92.742,-1.127
17.149,9737.543,92.19,-1.126
17.199,9752.62,91.638,-1.124
17.249,9767.608,91.087,-1.123
17.299,9782.505,90.537,-1.121
17.349,9797.311,89.988,-1.12
17.399,9812.028,89.439,-1.118
17.449,9826.655,88.891,-1.117
17.499,9841.192,88.344,-1.115
17.549,9855.639,87.797,-1.114
17.599,9869.997,87.252,-1.112
17.649,9884.265,86.707,-1.111
17.699,9898.444,86.163,-1.109
17.749,9912.534,85.619,-1.108
17.799,9926.534,85.076,-1.106
17.849,9940.446,84.534,-1.105
17.899,9954.269,83.992,-1.104
17.949,9968.002,83.452,-1.102
17.999,9981.648,82.911,-1.101
18.049,9995.204,82.372,-1.1
18.099,1.001e4,81.833,-1.098
18.149,1.002e4,81.295,-1.097
18.199,1.004e4,80.758,-1.096
18.249,1.005e4,80.221,-1.094
18.299,1.006e4,79.684,-1.093
18.349,1.007e4,79.149,-1.092
18.399,1.009e4,78.614,-1.09
18.449,1.01e4,78.08,-1.089
18.499,1.011e4,77.546,-1.088
18.549,1.013e4,77.013,-1.087
18.599,1.014e4,76.48,-1.085
18.649,1.015e4,75.948,-1.084
18.699,1.016e4,75.417,-1.083
18.749,1.018e4,74.886,-1.082
