# Simulation 4 (Up to date)
# 1138 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (24.1 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
8.549,6226.588,225.692,-1.971
8.599,6263.532,224.728,-1.96
8.649,6300.318,223.769,-1.95
8.699,6336.948,222.815,-1.94
8.749,6373.421,221.867,-1.93
8.799,6409.739,220.923,-1.92
8.849,6445.902,219.983,-1.911
8.899,6481.912,219.049,-1.901
8.949,6517.769,218.119,-1.892
8.999,6553.474,217.194,-1.882
9.049,6589.027,216.273,-1.873
9.099,6624.43,215.357,-1.864
9.149,6659.682,214.445,-1.855
9.199,6694.786,213.538,-1.846
9.249,6729.741,212.635,-1.837
9.299,6764.548,211.736,-1.829
9.349,6799.208,210.842,-1.82
9.399,6833.722,209.951,-1.812
9.449,6868.09,209.065,-1.803
9.499,6902.313,208.183,-1.795
9.549,6936.392,207.305,-1.787
9.599,6970.327,206.431,-1.779
9.649,7004.119,205.56,-1.771
9.699,7037.768,204.694,-1.763
9.749,7071.276,203.831,-1.755
9.799,7104.642,202.973,-1.748
9.849,7137.868,202.118,-1.74
9.899,7170.954,201.266,-1.732
9.949,7203.9,200.419,-1.725
9.999,7236.708,199.575,-1.718
10.049,7269.378,198.734,-1.71
10.099,7301.91,197.897,-1.703
10.149,7334.305,197.064,-1.696
10.199,7366.563,196.234,-1.689
10.249,7398.686,195.407,-1.682
10.299,7430.674,194.584,-1.675
10.349,7462.526,193.764,-1.669
10.399,7494.245,192.947,-1.662
10.449,7525.829,192.134,-1.655
10.499,7557.281,191.324,-1.649
10.549,7588.6,190.517,-1.642
10.599,7619.787,189.714,-1.636
10.649,7650.842,188.913,-1.629
10.699,7681.766,188.116,-1.623
10.749,7712.56,187.321,-1.617
10.799,7743.224,186.53,-1.611
10.849,7773.758,185.742,-1.605
10.899,7804.163,184.956,-1.599
10.949,7834.439,184.174,-1.593
10.999,7864.587,183.394,-1.587
11.049,7894.608,182.618,-1.581
11.099,7924.501,181.844,-1.575
11.149,7954.268,181.073,-1.569
11.199,7983.909,180.305,-1.564
11.249,8013.424,179.54,-1.558
11.299,8042.813,178.777,-1.553
11.349,8072.078,178.017,-1.547
11.399,8101.218,177.26,-1.542
11.449,8130.234,176.505,-1.536
11.499,8159.126,175.753,-1.531
11.549,8187.896,175.004,-1.526
11.599,8216.542,174.257,-1.52
11.649,8245.067,173.513,-1.515
11.699,8273.469,172.771,-1.51
11.749,8301.75,172.032,-1.505
11.799,8329.91,171.295,-1.5
11.849,8357.949,170.56,-1.495
11.899,8385.868,169.829,-1.49
11.949,8413.668,169.099,-1.485
11.999,8441.347,168.372,-1.481
12.049,8468.908,167.647,-1.476
12.099,8496.35,166.925,-1.471
12.149,8523.673,166.204,-1.466
12.199,8550.879,165.487,-1.462
12.249,8577.967,164.771,-1.457
12.299,8604.938,164.058,-1.453
12.349,8631.792,163.346,-1.448
12.399,8658.529,162.638,-1.444
12.449,8685.15,161.931,-1.439
12.499,8711.656,161.226,-1.435
12.549,8738.046,160.524,-1.431
12.599,8764.321,159.823,-1.426
12.649,8790.482,159.125,-1.422
12.699,8816.528,158.428,-1.418
