# Simulation 4 (Up to date)
# 1140 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (24.1 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
22.849,1.206e4,42.378,-1.026
22.899,1.207e4,41.875,-1.025
22.949,1.208e4,41.373,-1.025
22.999,1.208e4,40.87,-1.024
23.049,1.209e4,40.369,-1.023
23.099,1.21e4,39.867,-1.023
23.149,1.21e4,39.366,-1.022
23.199,1.211e4,38.865,-1.021
23.249,1.211e4,38.364,-1.021
23.299,1.212e4,37.864,-1.02
23.349,1.213e4,37.364,-1.019
23.399,1.213e4,36.865,-1.019
23.449,1.214e4,36.365,-1.018
23.499,1.215e4,35.866,-1.017
23.549,1.215e4,35.368,-1.017
23.599,1.216e4,34.869,-1.016
23.649,1.216e4,34.371,-1.015
23.699,1.217e4,33.874,-1.015
23.749,1.217e4,33.376,-1.014
23.799,1.218e4,32.879,-1.013
23.849,1.218e4,32.382,-1.013
23.899,1.219e4,31.886,-1.012
23.949,1.219e4,31.39,-1.012
23.999,1.22e4,30.894,-1.011
24.049,1.22e4,30.398,-1.01
24.099,1.221e4,29.903,-1.01
24.149,1.221e4,29.408,-1.009
24.199,1.222e4,28.914,-1.008
24.249,1.222e4,28.419,-1.008
24.299,1.223e4,27.925,-1.007
24.349,1.223e4,27.431,-1.007
24.399,1.224e4,26.938,-1.006
24.449,1.224e4,26.445,-1.005
24.499,1.225e4,25.952,-1.005
24.549,1.225e4,25.46,-1.004
24.599,1.225e4,24.967,-1.004
24.649,1.226e4,24.475,-1.003
24.699,1.226e4,23.984,-1.002
24.749,1.227e4,23.493,-1.002
24.799,1.227e4,23.002,-1.001
24.849,1.227e4,22.511,-1
24.899,1.228e4,22.02,-1
24.949,1.228e4,21.53,-0.999
24.999,1.229e4,21.041,-0.999
25.049,1.229e4,20.551,-0.998
25.099,1.229e4,20.062,-0.997
25.149,1.23e4,19.573,-0.997
25.199,1.23e4,19.085,-0.996
25.249,1.23e4,18.596,-0.995
25.299,1.23e4,18.108,-0.995
25.349,1.231e4,17.621,-0.994
25.399,1.231e4,17.133,-0.993
25.449,1.231e4,16.647,-0.993
25.499,1.232e4,16.16,-0.992
25.549,1.232e4,15.674,-0.992
25.599,1.232e4,15.188,-0.991
25.649,1.232e4,14.702,-0.99
25.699,1.233e4,14.216,-0.99
25.749,1.233e4,13.731,-0.989
25.799,1.233e4,13.247,-0.988
25.849,1.233e4,12.762,-0.988
25.899,1.233e4,12.278,-0.987
25.949,1.234e4,11.794,-0.986
25.999,1.234e4,11.311,-0.986
26.049,1.234e4,10.828,-0.985
26.099,1.234e4,10.345,-0.984
26.149,1.234e4,9.862,-0.984
26.199,1.234e4,9.38,-0.983
26.249,1.235e4,8.898,-0.983
26.299,1.235e4,8.416,-0.982
26.349,1.235e4,7.935,-0.981
26.399,1.235e4,7.454,-0.981
26.449,1.235e4,6.973,-0.98
26.499,1.235e4,6.493,-0.98
26.549,1.235e4,6.013,-0.979
26.599,1.235e4,5.533,-0.979
26.649,1.236e4,5.053,-0.978
26.699,1.236e4,4.573,-0.978
26.749,1.236e4,4.094,-0.977
26.799,1.236e4,3.615,-0.977
26.849,1.236e4,3.136,-0.977
26.899,1.236e4,2.657,-0.976
26.949,1.236e4,2.179,-0.976
26.999,1.236e4,1.7,-0.976
27.049,1.236e4,1.222,-0.975
27.099,1.236e4,0.744,-0.975
27.149,1.236e4,0.265,-0.975
# Event APOGEE occurred at t=27.199 seconds
27.199,1.236e4,-0.213,-0.975
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=27.2 seconds
